County,City,Model Year,Make,Model,Electric Range,Legislative District,Electric Utility,Electric Vehicle Type_Battery Electric Vehicle (BEV),Electric Vehicle Type_Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle (CAFV) Eligibility_Clean Alternative Fuel Vehicle Eligible,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Eligibility unknown as battery range has not been researched,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Not eligible due to low battery range,Cluster
116,715,0.7142857142857082,40,109,0.8575667655786351,0.7499999999999999,58,True,False,True,False,False,1
108,419,0.6428571428571388,8,25,0.7062314540059348,0.1874999999999999,74,True,False,True,False,False,1
116,659,0.9642857142857082,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,374,0.8571428571428612,40,110,0.0,0.0833333333333333,75,True,False,False,True,False,0
176,744,0.8928571428571388,39,156,0.0,0.0208333333333333,75,True,False,False,True,False,0
116,715,0.8571428571428612,28,54,0.0,0.7499999999999999,58,True,False,False,True,False,0
211,77,0.9642857142857082,40,110,0.0,0.0,74,True,False,False,True,False,0
116,57,0.8571428571428612,20,113,0.0,0.9791666666666666,75,True,False,False,True,False,0
211,524,0.7857142857142918,40,110,0.0,0.6458333333333333,74,True,False,False,True,False,0
116,715,0.8928571428571388,19,77,0.0741839762611276,0.7291666666666666,58,False,True,False,False,True,0
176,417,0.7142857142857082,40,107,0.6528189910979229,0.5833333333333333,19,True,False,True,False,False,1
176,817,0.8214285714285694,36,135,0.0,0.5624999999999999,19,True,False,False,True,False,0
46,111,0.8928571428571388,29,81,0.0,0.3541666666666667,37,True,False,False,True,False,0
211,411,0.7142857142857082,5,87,0.3738872403560831,0.8958333333333333,74,False,True,True,False,False,1
116,696,0.7142857142857082,40,107,0.6528189910979229,0.0833333333333333,75,True,False,True,False,False,1
116,659,0.8571428571428612,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
118,39,0.8571428571428612,40,110,0.0,0.4583333333333333,74,True,False,False,True,False,0
40,858,0.8928571428571388,40,110,0.0,0.2291666666666666,68,True,False,False,True,False,0
46,851,0.6071428571428612,8,175,0.1572700296735905,0.2708333333333333,37,False,True,True,False,False,0
